Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 200      |
|    ep_rew_mean     | -999     |
| time/              |          |
|    fps             | 2949     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.16e+03    |
| time/                   |              |
|    fps                  | 937          |
|    iterations           | 2            |
|    time_elapsed         | 4            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0021597003 |
|    clip_fraction        | 0.00864      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | -0.000528    |
|    learning_rate        | 0.0003       |
|    loss                 | 2.64e+03     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00139     |
|    std                  | 0.994        |
|    value_loss           | 5.86e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.2e+03     |
| time/                   |              |
|    fps                  | 819          |
|    iterations           | 3            |
|    time_elapsed         | 7            |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0006619506 |
|    clip_fraction        | 0.000146     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.0136       |
|    learning_rate        | 0.0003       |
|    loss                 | 3.8e+03      |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.000255    |
|    std                  | 0.999        |
|    value_loss           | 9.4e+03      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.23e+03   |
| time/                   |             |
|    fps                  | 789         |
|    iterations           | 4           |
|    time_elapsed         | 10          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.004112595 |
|    clip_fraction        | 0.0331      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.0108      |
|    learning_rate        | 0.0003      |
|    loss                 | 4.78e+03    |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0032     |
|    std                  | 0.993       |
|    value_loss           | 9.31e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.24e+03    |
| time/                   |              |
|    fps                  | 107          |
|    iterations           | 5            |
|    time_elapsed         | 95           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0026398539 |
|    clip_fraction        | 0.00889      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.00586      |
|    learning_rate        | 0.0003       |
|    loss                 | 3.5e+03      |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00172     |
|    std                  | 0.991        |
|    value_loss           | 7.7e+03      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.25e+03    |
| time/                   |              |
|    fps                  | 115          |
|    iterations           | 6            |
|    time_elapsed         | 106          |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0060619656 |
|    clip_fraction        | 0.0424       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.00191      |
|    learning_rate        | 0.0003       |
|    loss                 | 4.49e+03     |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00356     |
|    std                  | 0.957        |
|    value_loss           | 8.28e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.24e+03    |
| time/                   |              |
|    fps                  | 128          |
|    iterations           | 7            |
|    time_elapsed         | 111          |
|    total_timesteps      | 14336        |
| train/                  |              |
